"","LocationName","UTM_E","UTM_N","UTMZone","City"
"299","S10-LPC1",412640,4604963,"16N","CHIL"
"212","R03-AUP1",436203,4637589,"16N","CHIL"
"182","D02-MBS1",447564,4645804,"16N","CHIL"
"193","D03-MFP1",438554,4645949,"16N","CHIL"
"208","R02-ALT1",442607,4636103,"16N","CHIL"
"196","D04-FGP1",437490,4647531,"16N","CHIL"
"185","D02-MOP1",439938,4640991,"16N","CHIL"
"312","S09-VTW1",411592,4613668,"16N","CHIL"
"269","R08-DAP1",410451,4636475,"16N","CHIL"
"288","R05-FMG1",424224,4633329,"16N","CHIL"
